timestamp,index,type,severity,actual_label
2026-04-13 21:34:35.364079,3,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364193,4,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364207,5,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364214,7,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364220,8,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364226,9,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364233,12,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364240,14,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364246,16,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364274,18,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364304,19,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364316,22,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364322,24,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364327,25,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364332,26,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364341,45,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364347,53,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364354,68,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364358,69,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364362,71,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364366,73,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364371,75,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364375,76,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364379,77,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364384,78,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364389,79,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364393,80,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364399,83,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364402,84,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364407,85,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364413,87,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364417,90,ANOMALY DETECTED,HIGH,0
2026-04-13 21:34:35.364420,92,ANOMALY DETECTED,HIGH,0
